Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-01-08 00:30:00,16293.99,16300,15954.16,15956.66,221.65,3577715.26,16140.98
2018-01-08 01:00:00,15961.98,16034.22,15716.93,15880.99,321.5,5094776.74,15846.83
2018-01-08 01:30:00,15895.1,16000.68,15758.76,15895,146.16,2321283.55,15881.71
2018-01-08 02:00:00,15895,16080,15883.62,16000.62,117.42,1881108.06,16020.73
2018-01-08 02:30:00,16020.93,16022.39,15778.76,15969.99,317.44,5042351.99,15884.48
2018-01-08 03:00:00,15969.99,15970,15576.67,15612,461.15,7247879.96,15716.83
2018-01-08 03:30:00,15612.01,15726.1,15544.99,15654.83,250.81,3916484.52,15615.62
2018-01-08 04:00:00,15605.3,15826.68,15553.42,15736.04,144.69,2276824.69,15736.08
2018-01-08 04:30:00,15736.04,15810,15621.93,15699.77,134.67,2115441.67,15707.85
2018-01-08 05:00:00,15690.69,15874.69,15534.11,15874.69,250.71,3952151.23,15763.74
2018-01-08 05:30:00,15874.6,15994.05,15850.57,15895.21,171.46,2732108.88,15933.97
2018-01-08 06:00:00,15910.16,15939.45,15758.06,15902.26,107.39,1703111,15859.4
2018-01-08 06:30:00,15930,15974.9,15751.64,15809.99,135.89,2155350.34,15861.08
2018-01-08 07:00:00,15809.99,15930.2,15764.49,15847.29,277.72,4400216.87,15844.1
2018-01-08 07:30:00,15872.83,15934,15781.39,15843.81,243.06,3858590.12,15874.82
2018-01-08 08:00:00,15844.6,15883.9,15599.64,15600.21,266.89,4192070.89,15707.11
2018-01-08 08:30:00,15646.59,15650,15329.36,15479.58,449.54,6961547.38,15485.92
2018-01-08 09:00:00,15440,15989,15250,15298.22,793.29,12261643.61,15456.72
2018-01-08 09:30:00,15257.43,15448.17,15165,15165,323.81,4959278.37,15315.36
2018-01-08 10:00:00,15164,15350.03,15156,15280.06,481.99,7345433.22,15239.67
2018-01-08 10:30:00,15290.02,15359.87,15157.14,15359.6,235.9,3604135.33,15278.07
2018-01-08 11:00:00,15359.26,15470.41,15311.26,15387.26,223.62,3443987.4,15401.03
2018-01-08 11:30:00,15387.26,15460,15343.9,15448.98,148.73,2293463.44,15420.72
2018-01-08 12:00:00,15459.99,15483.23,15250,15267.08,199.61,3073578.21,15397.63
2018-01-08 12:30:00,15267.07,15390.78,15251.01,15352.73,186.3,2857529.91,15338.61
2018-01-08 13:00:00,15352.72,15400,14867,14900,707.11,10667952.78,15086.65
2018-01-08 13:30:00,14900,14908.55,14620,14889.46,1072.07,15835724.06,14771.15
2018-01-08 14:00:00,14879.9,14880,14546.28,14838.49,678.66,10004203.22,14741.15
2018-01-08 14:30:00,14838.49,14899.27,14300.02,14372.78,818.18,11893756.76,14536.78
2018-01-08 15:00:00,14372.77,14582.64,13900,14582.64,1203.19,17119149.37,14228.18
2018-01-08 15:30:00,14582.64,14750,14437.72,14500,1064.35,15579938.95,14638.01
2018-01-08 16:00:00,14500,14802.76,14496.12,14788.91,310.02,4567806.61,14734.11
2018-01-08 16:30:00,14772.76,14951.34,14605.98,14841.11,359.9,5335069.76,14823.83
2018-01-08 17:00:00,14841.11,14946.75,14799.75,14810,280.01,4158450.78,14851.02
2018-01-08 17:30:00,14809.99,14870.05,14546.28,14830.11,386.99,5682795.93,14684.51
2018-01-08 18:00:00,14864.99,15101.41,14722.25,15099.99,283.1,4228951.84,14937.93
2018-01-08 18:30:00,15099.24,15101.41,14871,14908.69,299.92,4496953.85,14993.98
2018-01-08 19:00:00,14949.9,15164.72,14921.81,15147.99,297.01,4474451.48,15065.1
2018-01-08 19:30:00,15147.99,15147.99,14981.11,15101,156.54,2358979.37,15069.91
2018-01-08 20:00:00,15101.32,15151.33,14619.3,14795.08,458.72,6805301.68,14835.31
2018-01-08 20:30:00,14795.08,14951.34,14749.51,14951.34,169.34,2515640.55,14855.2
2018-01-08 21:00:00,14949.98,15000,14868.5,14988.71,110.13,1646241.93,14948.56
2018-01-08 21:30:00,14988.71,15050,14890.48,14960.41,123.22,1846093.68,14982.08
2018-01-08 22:00:00,14960.41,14982.66,14692.29,14879.75,251.01,3719351.95,14817.48
2018-01-08 22:30:00,14875,14908.85,14655.97,14732.88,204.38,3022570.78,14789.06
2018-01-08 23:00:00,14732.42,14876.86,14510,14834.63,342.98,5025716.51,14653.27
2018-01-08 23:30:00,14777.68,15000,14777.68,14999.99,215.63,3223487.15,14949.02
2018-01-09 00:00:00,14999.99,15101.41,14829.84,15051.26,176.28,2642902.99,14992.98
2018-01-09 00:30:00,15101.39,15179.68,14969.73,15179.68,190.66,2871534.78,15061.23
2018-01-09 01:00:00,15179.68,15246.98,14969.73,15030.63,125.32,1897246.12,15139.1
2018-01-09 01:30:00,15079.93,15318.99,15000.31,15272.36,168.74,2563834.02,15194.31
2018-01-09 02:00:00,15290.11,15290.11,15198.47,15207.38,120.73,1840486.81,15245.11
2018-01-09 02:30:00,15201,15282,15160,15274.69,82.89,1261247.04,15215.48
2018-01-09 03:00:00,15274.69,15320,15178.02,15300,77.65,1187438.85,15292.21
2018-01-09 03:30:00,15300,15329.36,15169.57,15200.27,100.51,1534330.24,15266.15
2018-01-09 04:00:00,15210.02,15350,15178.5,15349.99,72.52,1109217.96,15296.04
2018-01-09 04:30:00,15350,15360.95,15249.88,15353.8,49.8,762876.01,15318.61
2018-01-09 05:00:00,15353.79,15367.18,15233.33,15290.42,115.25,1763366.79,15299.9
2018-01-09 05:30:00,15243.81,15289.13,14910.3,15040.54,318.64,4790633.61,15034.62
2018-01-09 06:00:00,15034.39,15150,14988,15042.96,181.76,2732553.47,15033.5
2018-01-09 06:30:00,14990.02,15058.86,14816.87,15020.58,189.6,2829209.25,14921.71
2018-01-09 07:00:00,14948.76,15139.17,14930.89,15136,114.98,1732210,15065.75
2018-01-09 07:30:00,15136,15253,15100.02,15169.25,159.38,2422528.22,15199.41
2018-01-09 08:00:00,15169.99,15249.47,15130.81,15169,137.82,2093990,15193.27
2018-01-09 08:30:00,15168.02,15291.1,15150.58,15158.06,260.33,3963694.92,15225.59
2018-01-09 09:00:00,15158.07,15187.8,15050,15136.03,279.25,4219974.13,15111.69
2018-01-09 09:30:00,15136.03,15170.87,14849.99,14850,231.79,3483267.84,15027.54
2018-01-09 10:00:00,14850,14917.25,14602.03,14710.99,681.73,10048049.27,14739.14
2018-01-09 10:30:00,14719.99,14744.14,14427.35,14608.98,458.57,6672843.76,14551.37
2018-01-09 11:00:00,14608.98,14765.84,14470.02,14727.66,252.46,3700141.11,14656.54
2018-01-09 11:30:00,14683.54,14847.52,14654.58,14810.99,240.19,3552424.54,14789.86
2018-01-09 12:00:00,14805,14914.05,14737,14737.03,201.51,2993712.35,14856.59
2018-01-09 12:30:00,14737.03,14841,14560.39,14801,375.8,5512152.28,14667.95
2018-01-09 13:00:00,14801,14810,14329.98,14469,493.86,7176659.46,14531.82
2018-01-09 13:30:00,14479.99,14567.76,14123.97,14152.02,878.81,12557864.77,14289.58
2018-01-09 14:00:00,14152.02,14437.72,14150,14325.3,706.58,10082657.32,14269.7
2018-01-09 14:30:00,14325.3,14672.55,14323.43,14513.08,752.95,10915433.17,14496.94
2018-01-09 15:00:00,14517.66,14760.91,14513.18,14717.56,692.42,10146827.63,14654.12
2018-01-09 15:30:00,14717.56,14725.06,14512.33,14700,428.4,6256345.38,14603.83
2018-01-09 16:00:00,14690,14729.98,14571.44,14729.98,405.6,5949303.04,14667.74
2018-01-09 16:30:00,14729.98,14939.17,14729.98,14936.16,415.97,6182483.57,14862.76
2018-01-09 17:00:00,14936.16,14950,14800,14808.02,338.79,5028312.48,14841.88
2018-01-09 17:30:00,14808.02,14951.34,14794.95,14937.68,112.82,1680722.31,14897.48
2018-01-09 18:00:00,14937.68,14988.72,14841.34,14890.08,190.09,2837257.07,14925.58
2018-01-09 18:30:00,14890.08,14945.51,14732.58,14747.78,166.81,2474625.8,14835.24
2018-01-09 19:00:00,14747.78,14851.3,14700,14790,273.85,4044535.51,14769.23
2018-01-09 19:30:00,14848.03,14848.03,14692.29,14750,231.15,3409611.79,14750.56
2018-01-09 20:00:00,14749.99,14770,14619.1,14657.34,199.46,2931771.6,14698.52
2018-01-09 20:30:00,14625.31,14822,14625.31,14788.99,144.78,2136705.92,14758.69
2018-01-09 21:00:00,14803.61,14819.98,14700,14708,250.86,3701861.42,14756.51
2018-01-09 21:30:00,14708,14739.96,14510.06,14515,314.21,4588114.69,14602.17
2018-01-09 22:00:00,14515,14619.99,14500,14550.77,224.02,3258807.61,14546.69
2018-01-09 22:30:00,14550.99,14576.6,14359.99,14390.56,233.7,3378681.41,14457.37
2018-01-09 23:00:00,14418.7,14444.11,14210,14262.72,482.52,6891579.76,14282.35
2018-01-09 23:30:00,14262.72,14463,14187.75,14403.51,611.71,8767093.5,14332.2
2018-01-10 00:00:00,14403.51,14479.9,13800,14050,933.99,13127827.59,14055.7
2018-01-10 00:30:00,14049.99,14144.19,13957.51,14084.46,264.08,3714372.94,14065.42
2018-01-10 01:00:00,14076.54,14294.25,14040,14173.59,276.12,3918650.1,14192.06
2018-01-10 01:30:00,14161.88,14236.72,14031,14148,217.22,3071068.23,14138.23
2018-01-10 02:00:00,14148.01,14293.75,14148.01,14238.62,192.68,2740389.64,14222.75
2018-01-10 02:30:00,14238.61,14294.25,14133,14294.19,152.19,2164822.36,14224.2
2018-01-10 03:00:00,14262.72,14329.98,14230.01,14299.95,183.81,2628460.81,14299.62
2018-01-10 03:30:00,14248.29,14328.51,14044.4,14092.56,452.3,6440061.07,14238.57
2018-01-10 04:00:00,14106.87,14200,14031,14176.99,234.15,3302473.75,14103.89
2018-01-10 04:30:00,14176.99,14400.73,14130.1,14314.2,286.99,4102150.2,14293.49
2018-01-10 05:00:00,14314.2,14349.82,14084.68,14150.97,295.42,4189581.22,14181.94
2018-01-10 05:30:00,14135.84,14246.96,13970,14163.34,414.4,5842327.2,14098.4
2018-01-10 06:00:00,14172.68,14294.25,14070.61,14204.99,285.6,4057205.8,14206.03
2018-01-10 06:30:00,14204.99,14286.53,14126.87,14259.26,119.1,1692341.34,14209.3
2018-01-10 07:00:00,14221.88,14292.27,13986.79,14096.44,392.4,5535900.29,14107.74
2018-01-10 07:30:00,14096.44,14250,14045.58,14059.96,231.57,3275336.58,14143.78
2018-01-10 08:00:00,14066.28,14090,13516.02,13565.84,1071.68,14740008.39,13754.1
2018-01-10 08:30:00,13550.01,13750,13412,13469.78,550.29,7471179.07,13576.88
2018-01-10 09:00:00,13474.09,13734.45,13415.9,13721.99,506.45,6906639.28,13637.28
2018-01-10 09:30:00,13721.99,13895,13590,13848.94,552.42,7619597.15,13793.23
2018-01-10 10:00:00,13834.2,13950,13751.57,13783.32,440.15,6095046.57,13847.7
2018-01-10 10:30:00,13776,13957.05,13741.65,13845.44,611.74,8491012.85,13880.21
2018-01-10 11:00:00,13845.45,13971.81,13796.98,13916.07,443.84,6161074.9,13881.42
2018-01-10 11:30:00,13935.88,14215.63,13916.08,14139.31,829.3,11699558.98,14107.79
2018-01-10 12:00:00,14139.31,14200,14017.88,14045,378.55,5333166.03,14088.45
2018-01-10 12:30:00,14059.69,14085.96,13892.07,13892.07,412.5,5770259.53,13988.49
2018-01-10 13:00:00,13892.08,14025.92,13890,14013.28,338.05,4712023.17,13938.9
2018-01-10 13:30:00,14013.28,14159.12,13890,13898.16,461.48,6477442.53,14036.12
2018-01-10 14:00:00,13890.75,13930.2,13740,13836.02,355.04,4912971.07,13837.64
2018-01-10 14:30:00,13860.76,13893.19,13631.95,13837.22,441.55,6069016.37,13744.75
2018-01-10 15:00:00,13810.31,14223.04,13792,14183.34,642.64,9028298.27,14048.68
2018-01-10 15:30:00,14198.13,14500,14086.71,14406.94,752.15,10765063.62,14312.36
2018-01-10 16:00:00,14406.94,14686.27,14406.94,14541.84,711.86,10385310.27,14588.99
2018-01-10 16:30:00,14541.84,14575.04,14434.78,14491.61,411.91,5973687.39,14502.52
2018-01-10 17:00:00,14491.62,14550,14341,14498.9,398.73,5761873.71,14450.69
2018-01-10 17:30:00,14459.2,14580,14350,14550,201.23,2910421.63,14463.17
2018-01-10 18:00:00,14550,14700,14540.05,14576.29,344.18,5038212.87,14638.18
2018-01-10 18:30:00,14576.39,14599.99,14407.04,14525.4,300.93,4375875.48,14541.16
2018-01-10 19:00:00,14530.56,14569.98,14350.01,14385,182.5,2634181.02,14434.21
2018-01-10 19:30:00,14385,14510.15,14294.25,14365.34,217.31,3125565.64,14382.71
2018-01-10 20:00:00,14357.74,14424.48,14263.01,14335.12,175.26,2511228.02,14328.77
2018-01-10 20:30:00,14335.14,14537.11,14335.13,14477.25,107.28,1550294.38,14450.86
2018-01-10 21:00:00,14477.46,14538.94,14380.72,14509.1,189.28,2736211.91,14455.89
2018-01-10 21:30:00,14509.1,14629.9,14420,14511,381.43,5556963.07,14568.91
2018-01-10 22:00:00,14491.36,14553.57,14435.49,14446.85,158.62,2301087.97,14506.59
